Botanical,Family,District,Collection,Date,latitude,longitude
Acanthus ebracteatus,Acanthaceae,S. Andaman,S-04-111,18.07.2004,11.831168,92.65864
Acanthus ilicifolius,Acanthaceae,East Godavari,AUU-722,14.08.2002,17.32125,82.040714
Acanthus leucostachyus,Acanthaceae,Cachar,GD-101,04.03.1999,24.782125,92.85771
Adhatoda vasica,Acanthaceae,North Delhi,ABR-7/2005,02.04.2005,28.788604,77.14116
Andrographis alata,Acanthaceae,Bangalore,KFP 6443,15.2.1979,12.971599,77.594563
Andrographis paniculata,Acanthaceae,Hyderabad,,April 2007,17.385044,78.486671
Andrographis lineata,Acanthaceae,Chikmagalur,KFP 9615,06.10.1979,13.315258,75.775402
Andrographis ovata,Acanthaceae,Namakkal,UV/02-48,21.12.2002,11.219439,78.167724
Andrographis paniculata,Acanthaceae,Hyderabad,Abbas/Sivraj-2007,15.08.2007,17.385044,78.486671
Andrographis paniculata,Acanthaceae,Punjabi Bagh,AP/RG/Students-2007,25.10.2007,28.673751,77.127338
Asteracantha longifolia,Acanthaceae,Ratnagiri,BBJ-97,07.10.2000,16.990215,73.312023
Asystasia chelonoides,Acanthaceae,Kodagu,KFP 2275,22.08.1978,12.337494,75.806908
Asystasia dalzelliana,Acanthaceae,Chikmagalur,KFP 8576,22.07.1979,13.315258,75.775402
Asystasia gangetica,Acanthaceae,Mandya,KFP 10220,07.11.1979,12.522157,76.900919
Barleria acuminata,Acanthaceae,Mysore,KFP 6371,06.04.1979,31.104815,77.173403
Barleria cristata,Acanthaceae,Shimoga,RJGO-40,01.12.2007,28.704059,77.10249
Barleria cristata,Acanthaceae,Shimla,SHM/07/P/88,08.08.2006,29.380304,79.463566
Barleria cristata,Acanthaceae,Delhi,,07.12.1987,13.315258,75.775402
Barleria dichotoma,Acanthaceae,Nainital,GS-274,11.11.1995,28.788604,77.14116
Barleria involucrata,Acanthaceae,Chikmagalur,KFP 4640,18.11.1978,31.104815,77.173403
Barleria lupulina,Acanthaceae,North Delhi,ABR-4/2005,02.04.2005,12.971599,77.594563
Barleria lupulina,Acanthaceae,Shimla,,06.07.2005,29.380304,79.463566
Barleria prattensis,Acanthaceae,Bangalore,KFP 4596,02.12.1978,20.462521,85.88299
Barleria strigosa,Acanthaceae,Nainital,,33055,13.315258,75.775402
Barleria strigosa,Acanthaceae,Cuttack,DP/RM-6147,20.12.2000,12.522157,76.900919
Barleria tomentosa,Acanthaceae,Bangalore,KFP 2828,23.09.1978,31.957851,77.10946
Blepharis asperrima,Acanthaceae,Chikmagalur,KFP 4147,13.11.1978,12.337494,75.806908
Blepharis maderaspatensis,Acanthaceae,Mandya,KFP 4578,25.11.1978,30.904486,77.096736
Blepharis molluginifolia,Acanthaceae,Kullu,,,31.104815,77.173403
Bremekampia neilgherrensis,Acanthaceae,Kodagu,KFP 5546,28.12.1978,16.212003,77.343928
Crossandra infundibuliformis,Acanthaceae,Uttara Kannada,RJGSO-28,29.11.2007,12.522157,76.900919
Daedalacanthus nervosus,Acanthaceae,Solan,SHM/07/19,Aug. 2002,13.92993,75.568101
Dicliptera bupleuroides,Acanthaceae,Shimla,APRG-17/2005,15.10.2005,16.990215,73.312023
Diotacanthus grandis,Acanthaceae,Uttara Kannada,KFP 6073,15.2.1979,13.315258,75.775402
Dipteracanthus patulus,Acanthaceae,Raichur,KFP 4384,16.11.1978,13.92993,75.568101
Dyscoriste littoralis,Acanthaceae,Mandya,KFP 384,04.03.1978,15.139393,76.921443
Dyscoriste vagans,Acanthaceae,Mandya,KFP 5020,18.12.1978,15.849695,74.497674
Ecbolium linneanum,Acanthaceae,Shimoga,KFP 5380,14.12.1978,21.538314,84.728944
Eranthemum roseum,Acanthaceae,Ratnagiri,BBJ-213,11.01.2001,12.29581,76.639381
Gymnostachyum febrifugum,Acanthaceae,Dakshina Kannada,KFP 3395,18.10.1978,15.139393,76.921443
Gymnostachyum latifolium,Acanthaceae,Chikmagalur,KFP 4738,01.12.1978,15.139393,76.921443
Gymnostachyum polyanthum,Acanthaceae,Shimoga,KFP 5341,14.12.1978,20.462521,85.88299
Hemigraphis latebrosa,Acanthaceae,Bellary,KFP 5862,18.01.1979,16.830171,75.710031
Hygrophila auriculata,Acanthaceae,Belgaum,KFP 3718,20.10.1978,29.380304,79.463566
Hygrophila salicifolia,Acanthaceae,Mandya,KFP 6012,06.02.1979,24.585445,73.712479
Justicia betonica,Acanthaceae,Vishakapatnam,AUV-913,30.03.2003,13.92993,75.568101
Justicia dichotoma,Acanthaceae,Dehradun,RG,Sept. 2009,12.29581,76.639381
Justicia diffusa,Acanthaceae,Mysore,KFP 2473,05.09.1978,15.139393,76.921443
Justicia glabra,Acanthaceae,Bellary,KFP 5872,18.01.1979,22.008698,86.418731
Justicia glauca,Acanthaceae,Bellary,KFP 4298,14.11.1978,14.793707,74.686882
Justicia japonica,Acanthaceae,Cuttack,DP/RM-6135,19.12.2000,7.083333,93.8
Justicia neesii,Acanthaceae,Chitradurga,KFP 3990,13.11.1978,22.008698,86.418731
Justicia nilgherrensis,Acanthaceae,Bijapur,KFP 9289,15.09.1979,12.843781,75.247906
Justicia simplex,Acanthaceae,Nainital,KSN/KCP-59,Nov. 1986,13.92993,75.568101
Justicia prostrata,Acanthaceae,Kodagu,KFP 8469,22.07.1979,12.337494,75.806908
Justicia quinqueangularis,Acanthaceae,Udaipur,4630,27.01.1970,13.006814,76.099552
Justicia santapaui,Acanthaceae,Shimoga,KFP 6164,07.03.1979,13.315258,75.775402
Justicia tranquebariensis,Acanthaceae,Mysore,KFP 2236,21.08.1978,31.104815,77.173403
Lepidagathis cristata,Acanthaceae,Bellary,KFP 5923,20.01.1979,13.315258,75.775402
Lepidagathis fasciculata,Acanthaceae,Cuttack,DP/RM-6123,19.12.2000,20.462521,85.88299
Lepidagathis incurva,Acanthaceae,Mayurbhanj,BMS/SM/SSM-1,Dec. 1999,27.481111,94.557285
Lepidagathis spinosa,Acanthaceae,Uttara Kannada,KFP 6051,14.02.1979,24.782125,92.85771
Mananthes sumatrana,Acanthaceae,Nicobar,SES-06-28,10.02.2002,14.793707,74.686882
Nelsonia campestris,Acanthaceae,Mayurbhanj,BMS/SM/SSM-21,Dec. 1999,22.008698,86.418731
Nilgirianthus ciliatus,Acanthaceae,Dakshina Kannada,KFP 4154,13.11.1978,17.329731,76.834296
Nilgirianthus foliosus,Acanthaceae,Shimoga,KFP 5159,28.12.1978,14.793707,74.686882
Nilgirianthus heyneanus,Acanthaceae,Coorg,KFP 1279,11.06.1978,30.316495,78.032192
Nilgirianthus neilgherrensis,Acanthaceae,Hassan,KFP 5485,26.12.1978,31.708166,76.931367
Nilgirianthus urceolaris,Acanthaceae,Chikmagalur,KFP 3343,16.10.1978,16.990215,73.312023
Nilgirianthus warreensis,Acanthaceae,Kodagu,KFP 3290,11.10.1978,31.104815,77.173403
Pachystachys lutea,Acanthaceae,Shimla,APRG-49/2005,16.10.2005,11.491604,76.733652
Phaulopsis dorsiflora,Acanthaceae,Chikmagalur,KFP 4833,03.12.1978,11.703206,76.0834
Phaulopsis longifolia,Acanthaceae,Cuttack,DP/RM-6103,20.12.2000,12.29581,76.639381
Pleocaulus sessiloides,Acanthaceae,Chikmagalur,KFP 4754,01.12.1978,31.957851,77.10946
Phlogacanthus thyrsiflorus,Acanthaceae,Dhemaji,DRLT-37,26.08.2001,30.404105,79.331769
Phlogacanthus tubiflorus,Acanthaceae,Cachar,GD-122,22.01.2000,31.104815,77.173403
Rungia linifolia,Acanthaceae,Uttara Kannada,KFP 6043,14.02.1979,29.58286,80.218188
Rungia pectinata,Acanthaceae,Mayurbhanj,BMS/SM/SSM-15,Dec. 1999,31.957851,77.10946
Rungia repens,Acanthaceae,Gulbarga,KFP 10069,27.10.1979,31.104815,77.173403
Staurogyne zeylanica,Acanthaceae,Uttara Kannada,KFP 13072,24.06.1981,29.380304,79.463566
Strobilanthes alata,Acanthaceae,Dehradun,RG,Sept. 1999,14.793707,74.686882
Strobilanthes atropurpurea,Acanthaceae,Mandi,AP-2006,May 2006,15.139393,76.921443
Strobilanthes callosa,Acanthaceae,Ratnagiri,BBJ-172,07.12.2000,16.830171,75.710031
Strobilanthes glutinosa,Acanthaceae,Shimla,,06.01.2006,14.793707,74.686882
Strobilanthes kunthiana,Acanthaceae,Nilgiris,RN/06,12.09.2006,28.459497,77.026638
Thunbergia fragrans,Acanthaceae,Mysore,KFP 2429,05.09.1978,14.230559,76.398454
Xenacanthus pulneyensis,Acanthaceae,Mysore,KFP 2490,25.11.1978,13.92993,75.568101
Acer caesium,Aceraceae,Kullu,SHM/08-80,17.07.07,31.514318,75.911483
Acer caudatum,Aceraceae,Chamoli,KSN/VKD/GK/HYS/LSK-337,Sept. 2000,12.29581,76.639381
Acer oblongum,Aceraceae,Shimla,SHM/07/P/102,08.07.2006,34.152586,77.577053
Acer platanoides,Aceraceae,Pithoragarh,AP-40/90,07.06.1990,32.246137,78.034916
Acer sterculiaceum,Aceraceae,Kullu,SHM/08-121,14.07.2007,30.404105,79.331769
Actinidia arguta,Actinidiaceae,Shimla,SHM/07/P/53,01.05.2006,31.104815,77.173403
Actinidia chinensis,Actinidiaceae,Nainital,MGD-54/03,26.07.2003,29.380304,79.463566
Dracaena terniflora,Agavaceae,Uttara Kannada,KFP 13205,17.07.1981,29.380304,79.463566
Corbichonia decumbens,Aizoaceae,Bellary,KFP 5941,20.01.1979,31.104815,77.173403
Gisekia pharnaceoides,Aizoaceae,Bijapur,KFP 9263,14.09.1979,30.404105,79.331769
Glinus oppositifolius,Aizoaceae,Uttara Kannada,KFP 13089,25.06.1981,32.246137,78.034916
Mollugo cerviana,Aizoaceae,Gurgaon,ERN,04.10.2003,29.380304,79.463566
Sesuvium portulacastrum,Aizoaceae,Vishakapatnam,AVV-726,11.08.2002,29.380304,79.463566
Zaleya decandra,Aizoaceae,Chitradurga,KFP 8773,21.08.1979,27.578068,91.875742
Alangium salviifolium,Alangiaceae,Dahod,MD-848,April 2007,32.246137,78.034916
Alangium salviifolium,Alangiaceae,Shimoga,KFP 7424,24.04.1979,34.553852,76.134894
Alisma plantago-aquatica,Alismataceae,Hoshiarpur,,,31.104815,77.173403
Limnophyton obtusifolium,Alismataceae,Mysore,,Feb./Mar. 1979,29.380304,79.463566
Sagittaria sagittifolia,Alismataceae,East Godavari,,,30.404105,79.331769
Allium ascalonicum,Alliaceae,Nainital,,05.05.1998,31.104815,77.173403
Allium auriculatum,Alliaceae,Leh,MGB- 33,30.06.2003,27.6094,75.139911
Allium bakeri,Alliaceae,Lahaul & Spiti,,12.08.1984,17.389138,77.836728
Allium bakeri,Alliaceae,Lahaul & Spiti,,,17.385044,78.486671
Allium carolinianum,Alliaceae,Lahaul & Spiti,SHM/08-129,01.09.2005,25.238122,87.645359
Allium cepa,Alliaceae,Srinagar,BLM,May 2001,12.709449,77.280742
Allium cernuum,Alliaceae,Chamoli,315,May 1990,24.782125,92.85771
Allium cernuum,Alliaceae,Shimla,AP,April 2005,28.459497,77.026638
Allium chinense,Alliaceae,Nainital,,04.10.1991,14.793707,74.686882
Allium chinense,Alliaceae,Nainital,E-3,23.09.2005,16.990215,73.312023
Allium clarkei,Alliaceae,Nainital,,,32.099803,76.269101
Allium consanguineum,Alliaceae,Lahaul & Spiti,SHM/08-127,06.09.2005,11.926147,76.943731
Allium fistulosum,Alliaceae,Shimla,SHM/07/P/75,08.04.2006,13.92993,75.568101
Allium govanianum,Alliaceae,Chamoli,VJ/Eval./NBPGR/2004,11.06.2004,31.104815,77.173403
Allium grandiflorum,Alliaceae,Nainital,AP,Sept. 1999,10.527642,76.214435
Allium griffithianum,Alliaceae,Lahaul & Spiti,SHM/08-132,06.09.2005,10.527642,76.214435
Allium griffithianum,Alliaceae,Nainital,AP,Sept. 1999,32.246137,78.034916
Allium hookeri,Alliaceae,Nainital,E-7,23.09.2005,13.339168,77.113998
Allium humile,Alliaceae,Shimla,SHM/07/P/02,08.09.2006,31.104815,77.173403
Allium jacquemontii,Alliaceae,Kinnaur,SHM/07/P/24,08.09.2006,29.589241,79.646666
Allium jacquemontii,Alliaceae,Kinnaur,SHM/07/P/25,08.09.2006,29.380304,79.463566
Allium lineare,Alliaceae,Nainital,,05.05.1998,24.782125,92.85771
Allium odorum,Alliaceae,Tawang,SHM/08/10,26.08.2007,28.459497,77.026638
Allium przewalskianum,Alliaceae,Kinnaur,SHM/08-124,15.09.2007,27.17667,78.008075
Allium rubellum,Alliaceae,Lahaul & Spiti,BSI NC 45936,13.06.1988,10.78673,76.654793
Allium sativum,Alliaceae,Kargil,A-1465,28.08.1987,22.008698,86.418731
Allium schoenoprasum,Alliaceae,Shimla,SHM/07/P/99,09.09.2006,31.104815,77.173403
Allium scorodoprasum,Alliaceae,Nainital,AP,Sept. 1999,31.104815,77.173403
Allium stracheyi,Alliaceae,Chamoli,N-135,Oct. 1986,16.990215,73.312023
Allium tuberosum,Alliaceae,Nainital,AP,Sept. 1999,12.971599,77.594563
Achyranthes aspera,Amaranthaceae,Dehradun,RG,Sept. 1999,12.843781,75.247906
Achyranthes bidentata,Amaranthaceae,Shimla,,23.05.2005,13.340881,74.742143
Aerva javanica,Amaranthaceae,Sikar,RN/06,Oct. 2006,15.849695,74.497674
Aerva monsoniae,Amaranthaceae,Hyderabad,,,29.380304,79.463566
Aerva sanguinolenta,Amaranthaceae,Sahibganj,1/24,09.03.2000,27.492191,95.346775
Allmania nodiflora,Amaranthaceae,Ramanagara,KFP 1555,19.07.1978,26.116047,83.231863
Alternanthera philoxeroides,Amaranthaceae,Cachar,GD-107,11.03.2000,15.139393,76.921443
Alternanthera pungens,Amaranthaceae,Gurgaon,ERN,12.10. 2005,30.562846,77.470197
Alternanthera tenella,Amaranthaceae,Ratnagiri,BBJ-279,01.05.2001,12.29581,76.639381
Amaranthus blitum,Amaranthaceae,Kangra,SHM/07/P/93,06.09.2006,17.385044,78.486671
Amaranthus dubius,Amaranthaceae,Shimoga,JSR-04-109,15.10.2004,14.793707,74.686882
Amaranthus dubius,Amaranthaceae,Shimla,SHM/07/P/86,06.08.2006,26.316082,91.598396
Amaranthus graecizans,Amaranthaceae,Thrissur,JSR-04-141,17.10.2004,7.083333,93.8
Amaranthus hybridus,Amaranthaceae,Thrissur,JSR-04-80,14.10.2004,12.971599,77.594563
Amaranthus hypochondriacus,Amaranthaceae,Lahaul & Spiti,,Aug. 1984,17.686816,83.218482
Amaranthus tricolor,Amaranthaceae,Tumkur,JSR-04-57,13.10.2004,30.404105,79.331769
Amaranthus tricolor,Amaranthaceae,Shimla,SHM/07/P/85,07.07.2006,31.104815,77.173403
Amaranthus viridis,Amaranthaceae,Almora,AP/2006,Oct. 2006,32.246137,78.034916
Bosia amherstiana,Amaranthaceae,Nainital,KSP/KCP-209,July 1987,32.246137,78.034916
Cyathula prostrata,Amaranthaceae,Cachar,GD-114A,06.02.2000,34.083671,74.797282
Digera arvensis,Amaranthaceae,Gurgaon,SSM/Expl./2004,July 2004,30.726831,78.435404
Digera arvensis,Amaranthaceae,Akola,,22.01.1965,29.380304,79.463566
Digera muricata,Amaranthaceae,Agra,AKI-3,,22.61681,88.402895
Pupalia lappacea,Amaranthaceae,Palakkad,ERN,Dec. 1999,31.104815,77.173403
Curculigo orchioides,Amaryllidaceae,Mayurbhanj,RM-III-30,Dec. 1999,34.083671,74.797282
Zephyranthes grandiflora,Amaryllidaceae,Shimla,SHM/07/P/76,04.04.2006,12.29581,76.639381
Zephyranthes grandiflora,Amaryllidaceae,Shimla,SHM/08-111,14.06.2006,29.380304,79.463566
Anacardium occidentale,Anacardiaceae,Kottayam,RN-2006,20.12.2006,19.107132,81.953481
Anacardium occidentale,Anacardiaceae,Ratnagiri,BBJ-221,21.01.2001,12.337494,75.806908
Buchanania axillaris,Anacardiaceae,Bangalore,KFP 7488,30.04.1979,26.452288,92.027319
Buchanania axillaris,Anacardiaceae,Mysore,KFP 2249,21.08.1978,24.833271,92.778905
Holigarna ferruginea,Anacardiaceae,Dakshina Kannada,KFP 1912,22.07.1978,16.990215,73.312023
Holigarna ferruginea,Anacardiaceae,Udupi,KFP 5128,27.12.1978,31.104815,77.173403
Holigarna grahamii,Anacardiaceae,Hassan,KFP 5472,26.12.1978,30.316495,78.032192
Lannea coromandelica,Anacardiaceae,Belgaum,KFP 7862,23.05.1979,13.315258,75.775402
Pistacia atlantica,Anacardiaceae,Shimla,SHM/07/P/55,27.04.2006,30.404105,79.331769
Pistacia atlantica,Anacardiaceae,Shimla,SHM/07/P/56,06.04.2006,34.553852,76.134894
Pistacia integerrima,Anacardiaceae,Nainital,MGD-65/03,26.07.2003,30.404105,79.331769
Rhus chinensis,Anacardiaceae,Tinsukia,SMBRH-64,01.03.2003,29.380304,79.463566
Rhus javanica,Anacardiaceae,Garhwal,,26.06.1995,31.104815,77.173403
Rhus javanica,Anacardiaceae,Nainital,KSN/KCP-9,Oct. 1986,31.708166,76.931367
Rhus mysorensis,Anacardiaceae,Bellary,KFP 4235,13.11.1978,18.052936,78.261853
Rhus parviflora,Anacardiaceae,Sirmaur,,,18.296975,83.896781
