Botanical,Lower,Family,Country,State,District,Collection,Date,latitude,longitude
Acanthus ebracteatus,,Acanthaceae,,Andaman & Nicobar,S. Andaman,S-04-111,18.07.2004,11.831168,92.65864
Acanthus ilicifolius,,Acanthaceae,,Andhra Pradesh,East Godavari,AUU-722,14.08.2002,17.32125,82.040714
Acanthus leucostachyus,,Acanthaceae,,Assam,Cachar,GD-101,04.03.1999,24.782125,92.85771
Adhatoda vasica,,Acanthaceae,,Delhi,North Delhi,ABR-7/2005,02.04.2005,28.788604,77.14116
Adhatoda zeylanica,,Acanthaceae,,Rajasthan,Jalore,G-41,29.09.1994,25.34448,72.625376
Andrographis alata,,Acanthaceae,,Karnataka,Bangalore,KFP 6443,15.2.1979,12.971599,77.594563
Andrographis paniculata,,Acanthaceae,,Andhra Pradesh,Hyderabad,,April 2007,17.385044,78.486671
Andrographis lineata,,Acanthaceae,,Karnataka,Chikmagalur,KFP 9615,06.10.1979,13.315258,75.775402
Andrographis neesiana,,Acanthaceae,,Kerala,Wynad ,NR/02-20,23.10.2007,11.703206,76.0834
Andrographis ovata,,Acanthaceae,,Tamil Nadu,Namakkal,UV/02-48,21.12.2002,11.219439,78.167724
Andrographis paniculata,,Acanthaceae,,Andhra Pradesh,Hyderabad,Abbas/Sivraj-2007,15.08.2007,17.385044,78.486671
Andrographis paniculata,,Acanthaceae,,Delhi,Punjabi Bagh,AP/RG/Students-2007,25.10.2007,28.673751,77.127338
Asteracantha longifolia,,Acanthaceae,,Maharashtra,Ratnagiri,BBJ-97,07.10.2000,16.990215,73.312023
Asystasia chelonoides,,Acanthaceae,,Karnataka,Kodagu,KFP 2275,22.08.1978,12.337494,75.806908
Asystasia dalzelliana,,Acanthaceae,,Karnataka,Chikmagalur,KFP 8576,22.07.1979,13.315258,75.775402
Asystasia gangetica,,Acanthaceae,,Karnataka,Mandya,KFP 10220,07.11.1979,12.522157,76.900919
Barleria acuminata,,Acanthaceae,,Karnataka,Mysore,KFP 6371,06.04.1979,31.104815,77.173403
Barleria cristata,,Acanthaceae,,Karnataka,Shimoga,RJGO-40,01.12.2007,28.704059,77.10249
